gene_id,mean_disease,mean_control,log2FC,pvalue,padj,gene_name,biotype
ENSG00000178631,0.920383834347326,1.6764798587523497,-0.7560960244050238,1.8873246179218484e-06,0.00015980215685870353,ACTG1P1,processed_pseudogene
ENSG00000205559,2.925897946527545,3.7080970740518127,-0.7821991275242675,1.930341484213116e-06,0.00016030812651453576,CHKB-DT,lncRNA
ENSG00000286689,2.431745525269975,3.4515209573625465,-1.0197754320925716,1.9625243756760113e-06,0.00016110746081698935,,lncRNA
ENSG00000288271,1.91202256785364,2.99223800484281,-1.08021543698917,2.0184566760228506e-06,0.0001638161088654,,lncRNA
ENSG00000226443,0.855098945957807,1.6951365550368818,-0.8400376090790748,2.0798246140874e-06,0.00016690008307654168,GAPDHP32,processed_pseudogene
ENSG00000288580,1.474788124123482,2.2819832847629664,-0.8071951606394845,2.1980687423539536e-06,0.0001744289661987993,,lncRNA
ENSG00000270344,3.6982446558423647,4.632457715618999,-0.9342130597766345,2.2569711761732947e-06,0.00017713503450801835,POC1B-AS1,lncRNA
ENSG00000271614,2.4204178150871183,3.160251599778583,-0.7398337846914647,2.4022867666229075e-06,0.00018646064732690307,ATP2B1-AS1,lncRNA
ENSG00000260505,1.695509216633575,2.4869994898692127,-0.7914902732356377,2.4541166128155822e-06,0.00018646064732690307,,lncRNA
ENSG00000224812,3.8860860068339433,4.959133879466568,-1.0730478726326242,2.4368500681770655e-06,0.00018646064732690307,TMEM72-AS1,lncRNA
ENSG00000272316,3.449666139033355,4.302096583557248,-0.8524304445238933,2.6275007884990487e-06,0.0001955853998342333,,lncRNA
ENSG00000183666,3.6411741915529796,4.355545897190507,-0.7143717056375274,2.628983251762307e-06,0.0001955853998342333,GUSBP1,transcribed_unprocessed_pseudogene
ENSG00000225224,1.0365571151312796,1.6552521806312905,-0.618695065500011,2.8026583152040985e-06,0.00020635655347616156,RPS27AP12,processed_pseudogene
ENSG00000251791,3.3952577652525666,4.315258109605234,-0.9200003443526676,2.835502844744653e-06,0.00020664450323639092,SCARNA6,scaRNA
ENSG00000233175,2.4566478774297558,3.2260251428819915,-0.7693772654522357,2.8872107662447632e-06,0.00020828746760121313,FMNL1-AS1,lncRNA
ENSG00000198406,1.4865191138411835,2.551308887693879,-1.0647897738526955,2.9164834975947684e-06,0.00020829525139821835,BZW1P2,processed_pseudogene
ENSG00000287715,1.656804263222749,2.3091655739783117,-0.6523613107555626,2.99529386493802e-06,0.00021180582953848851,,lncRNA
ENSG00000271270,3.3316545614166424,4.049540437430389,-0.7178858760137468,3.1679113581262186e-06,0.00022181591097781818,TMCC1-DT,lncRNA
ENSG00000283417,2.101650342037583,3.3505543275970555,-1.2489039855594726,3.270134950161818e-06,0.00022675052246656023,,lncRNA
ENSG00000287439,3.359186726372909,4.19074168529219,-0.831554958919281,3.4691823771471064e-06,0.0002382394282460061,,lncRNA
ENSG00000204446,0.7685318009151939,1.3671912078898996,-0.5986594069747057,3.5262165551941393e-06,0.00023895387837423164,LINC02872,lncRNA
ENSG00000149531,1.542082266340318,2.366621938795097,-0.8245396724547791,3.546501135209823e-06,0.00023895387837423164,FRG1BP,unprocessed_pseudogene
